year,Month,Average Maximum Temperature (Degrees C),Average Minimum Temperature (Degrees C),Mean Temperature (Degrees C),Highest Temperature (Degrees C),Lowest Temperature (Degrees C),,, , , , 
2014,Jan,8.6,3,5.8,12.9,-1.5,,,,,,
2014,feb,8.6,2.6,5.6,12,-2.5,,,,,,
2014,mar,10.6,3.4,7,15.4,-3.3,,,,,,
2014,apr,13.6,4.9,9.3,16.4,-1.1,,,,,,
2014,may,15.3,7.9,11.6,20.3,1.7,,,,,,
2014,jun,18.6,9,13.8,23.5,3,,,,,,
2014,jul,20.6,11.6,16.1,24.1,5.1,,,,,,
2014,aug,18,10.3,14.1,21.6,3.3,,,,,,
2014,sep,17.8,9,13.4,22,3.7,,,,,,
2014,oct,14.7,7.8,11.3,18.9,-3.4,,,,,,
2014,nov,10.8,4.4,7.6,15,-6.4,,,,,,
2014,dec,8,2.2,5.1,13.2,-3.9,,,,,,
2015,Jan,7.5,1.2,4.4,14.4,-6,,,,,,
2015,feb,7.3,0.8,4,12.6,-7.9,,,,,,
2015,mar,9.9,2.1,6,14.2,-4,,,,,,
2015,apr,13,2.3,7.6,18.1,-2.7,,,,,,
2015,may,13.9,5.9,9.9,18.4,0.5,,,,,,
2015,jun,17.7,8.7,13.2,24.7,0.7,,,,,,
2015,jul,18.2,10.1,14.1,23.4,3.9,,,,,,
2015,aug,18.3,10,14.1,23.3,3.8,,,,,,
2015,sep,15.7,8.3,12,17.3,3.9,,,,,,
2015,oct,14,6.7,10.3,17.7,-0.3,,,,,,
2015,nov,12.2,5.7,9,16.8,-1.7,,,,,,
2015,dec,11.4,5.3,8.3,15.5,-1.6,,,,,,
2016,Jan,8.7,3,5.9,15.2,-0.8,,,,,,
2016,feb,8,1.5,4.8,11.7,-5.5,,,,,,
2016,mar,9.7,2.6,6.1,13.9,-4,,,,,,
2016,apr,10.6,2.9,6.7,13.5,-2.7,,,,,,
2016,may,15.7,7,11.3,20.5,1.7,,,,,,
2016,jun,18.2,10.2,14.2,21.7,2.5,,,,,,
2016,jul,19.9,11.9,15.9,26.3,7.1,,,,,,
2016,aug,19.4,11.8,15.6,23.1,6.4,,,,,,
2016,sep,18.1,10.9,14.5,25.1,5.4,,,,,,
2016,oct,13.7,7.5,10.6,16.6,1.9,,,,,,
2016,nov,8.9,2.5,5.7,15.7,-2.6,,,,,,
2016,dec,10.2,3.5,6.9,15.3,-2.3,,,,,,
2017,Jan,8.2,3,5.6,11.9,-4.8,,,,,,
2017,feb,9.2,3.3,6.2,12.9,-3.9,,,,,,
2017,mar,11.4,4.7,8.1,16.3,-1.7,,,,,,
2017,apr,12.4,4.6,8.5,16.5,-1.2,,,,,,
2017,may,16.6,7.5,12,23.2,-1.5,,,,,,
2017,jun,18.7,10.7,14.7,26.3,3.7,,,,,,
2017,jul,19.5,11,15.2,24.2,6,,,,,,
2017,aug,18.7,10.7,14.7,21.8,4.9,,,,,,
2017,sep,16.5,9.1,12.8,18.9,4.5,,,,,,
2017,oct,14.8,8.2,11.5,19.5,0.8,,,,,,
2017,nov,9.4,3.7,6.6,14.1,-0.4,,,,,,
2017,dec,8.5,2.4,5.5,13.6,-4.8,,,,,,
2018,Jan,7.9,2,5,13.1,-3.2,,,,,,
2018,feb,6.9,0.1,3.5,12,-3.4,,,,,,
2018,mar,6.8,1.4,4.1,11.6,-5.1,,,,,,
2018,apr,10.8,4.6,7.7,15.9,-2.1,,,,,,
2018,may,15.9,6.7,11.3,22.2,0.4,,,,,,
2018,jun,19.5,9.1,14.3,24.5,3.8,,,,,,
2018,jul,22,11.1,16.5,26.7,5.2,,,,,,
2018,aug,19.9,11.4,15.6,25.1,3.9,,,,,,
2018,sep,17.5,8.4,12.9,23,0.4,,,,,,
2018,oct,14.7,6.1,10.4,19.2,-4.7,,,,,,
